1,2,3,4,5,6,Match,rScore,bScore,iElo1,iElo2,iElo3,iElo4,iElo5,iElo6,rElo,bElo,rOdds,bOdds,fElo1,fElo2,fElo3,fElo4,fElo5,fElo6,status1,status2,status3,status4,status5,status6
Evan8738,Luis1771,TayLew9,gerog,Rob533,Metaljello,3586,163,235,695.9005127107457,1019.3949339121458,1511.529676062508,1367.9342361606011,1594.8618445398015,1235.5105050389575,1075.6083742284666,1399.4355285797867,0.0515315344341962,0.9484684655658038,694.7334770579517,1017.4585353131546,1510.4925240732955,1368.9713884843325,1595.898996529014,1236.5476570281787,Evan8738_L,Luis1771_L,TayLew9_L,gerog_W,Rob533_W,Metaljello_W
TayLew9,gerog,CrazyMetic,Evan8738,Rob533,Metaljello,3585,181,91,1506.713107013292,1363.1176654863675,1061.8270932659914,701.3480279775481,1599.6784135890152,1240.3270740882144,1310.5526219218837,1180.451171884926,0.7631800771236207,0.2368199228763793,1511.529676062508,1367.9342361606011,1066.643665506707,695.9005127107457,1594.8618445398015,1235.5105050389575,TayLew9_W,gerog_W,CrazyMetic_W,Evan8738_L,Rob533_L,Metaljello_L
TayLew9,gerog,CrazyMetic,Evan8738,Rob533,Metaljello,3584,151,138,1502.0275010864093,1358.4320579058922,1057.1414840914886,706.6756748652887,1604.3640195158955,1245.012680015139,1305.8670143612633,1185.350791465441,0.7472464062108509,0.2527535937891491,1506.713107013292,1363.1176654863675,1061.8270932659914,701.3480279775481,1599.6784135890152,1240.3270740882144,TayLew9_W,gerog_W,CrazyMetic_W,Evan8738_L,Rob533_L,Metaljello_L
TayLew9,gerog,CrazyMetic,Evan8738,Rob533,Metaljello,3583,150,169,1517.0548080503058,1373.4593704171486,1072.1688019502797,689.4944925880634,1589.3367125520072,1229.9853730511024,1320.8943268059113,1169.6055260637245,0.7958836831416694,0.2041163168583306,1502.0275010864093,1358.4320579058922,1057.1414840914886,706.6756748652887,1604.3640195158955,1245.012680015139,TayLew9_L,gerog_L,CrazyMetic_L,Evan8738_W,Rob533_W,Metaljello_W
gerog,Rob533,Metaljello,Evan8738,TayLew9,CrazyMetic,3582,214,169,1372.2406869484748,1588.118029553919,1228.766690053002,690.8958899028695,1518.2734910483944,1073.3874858725876,1396.3751355184656,1094.1856222746171,0.938082522025877,0.0619174779741229,1373.4593704171486,1589.3367125520072,1229.9853730511024,689.4944925880634,1517.0548080503058,1072.1688019502797,gerog_W,Rob533_W,Metaljello_W,Evan8738_L,TayLew9_L,CrazyMetic_L
gerog,Rob533,Metaljello,Evan8738,TayLew9,CrazyMetic,3581,241,183,1370.9799767723407,1586.8573198870054,1227.5059803860747,692.3543144399456,1519.534200715309,1074.6481965395983,1395.114425681807,1095.5122372316175,0.9367169598336056,0.0632830401663943,1372.2406869484748,1588.118029553919,1228.766690053002,690.8958899028695,1518.2734910483944,1073.3874858725876,gerog_W,Rob533_W,Metaljello_W,Evan8738_L,TayLew9_L,CrazyMetic_L
Metaljello,gerog,CrazyMetic,Evan8738,TayLew9,Rob533,3580,185,164,1215.2418532526438,1358.7158444573784,1062.384059229626,706.6303273479999,1531.7983278486092,1599.121447020298,1212.1139189798828,1279.183367405636,0.3535995044998833,0.6464004955001167,1227.5059803860747,1370.9799767723407,1074.6481965395983,692.3543144399456,1519.534200715309,1586.8573198870054,Metaljello_W,gerog_W,CrazyMetic_W,Evan8738_L,TayLew9_L,Rob533_L
Metaljello,gerog,CrazyMetic,Evan8738,TayLew9,Rob533,3579,178,206,1222.6595691204286,1366.1335636033532,1069.8017815357846,697.9397554190369,1524.3806119809071,1591.7037311526008,1219.5316380865222,1271.3413661841817,0.385563141212978,0.6144368587870219,1215.2418532526438,1358.7158444573784,1062.384059229626,706.6303273479999,1531.7983278486092,1599.121447020298,Metaljello_L,gerog_L,CrazyMetic_L,Evan8738_W,TayLew9_W,Rob533_W
Metaljello,gerog,CrazyMetic,Evan8738,TayLew9,Rob533,3578,204,199,1210.8790864818425,1354.35307551887,1058.021288201442,711.8347717514742,1536.161094619356,1603.4842137910414,1207.7511500673847,1283.8266933872906,0.3353113077672487,0.6646886922327513,1222.6595691204286,1366.1335636033532,1069.8017815357846,697.9397554190369,1524.3806119809071,1591.7037311526008,Metaljello_W,gerog_W,CrazyMetic_W,Evan8738_L,TayLew9_L,Rob533_L
Evan8738,TayLew9,Rob533,gerog,Metaljello,CrazyMetic,3577,188,167,703.6211068922945,1529.2458153198584,1596.568934491549,1361.268358162392,1217.7943657814242,1064.9365740685312,1276.478618901234,1214.6664326707826,0.6355191105627798,0.3644808894372202,711.8347717514742,1536.161094619356,1603.4842137910414,1354.35307551887,1210.8790864818425,1058.021288201442,Evan8738_W,TayLew9_W,Rob533_W,gerog_L,Metaljello_L,CrazyMetic_L
Evan8738,TayLew9,Rob533,gerog,Metaljello,CrazyMetic,3576,212,205,695.100940487869,1522.1242983925906,1589.4474175642868,1368.3898786919165,1224.9158827087829,1072.0580980705531,1268.890885481582,1221.787953157084,0.6043601707076445,0.3956398292923555,703.6211068922945,1529.2458153198584,1596.568934491549,1361.268358162392,1217.7943657814242,1064.9365740685312,Evan8738_W,TayLew9_W,Rob533_W,gerog_L,Metaljello_L,CrazyMetic_L
Evan8738,TayLew9,Rob533,gerog,Metaljello,CrazyMetic,3575,175,175,697.2673860867561,1523.921526686019,1591.2446458577135,1366.5926494475596,1223.1186544153304,1070.260867909522,1270.811186210163,1219.9907239241372,0.6123267683391898,0.3876732316608102,695.100940487869,1522.1242983925906,1589.4474175642868,1368.3898786919165,1224.9158827087829,1072.0580980705531,Evan8738_L,TayLew9_L,Rob533_L,gerog_W,Metaljello_W,CrazyMetic_W
Evan8738,TayLew9,Rob533,gerog,Metaljello,CrazyMetic,3574,218,228,712.0478840163071,1536.0876221395552,1603.4107413112397,1354.4265472605643,1210.9525589616244,1058.094759231618,1283.8487491557007,1207.8246218179356,0.6645856124677759,0.3354143875322241,697.2673860867561,1523.921526686019,1591.2446458577135,1366.5926494475596,1223.1186544153304,1070.260867909522,Evan8738_L,TayLew9_L,Rob533_L,gerog_W,Metaljello_W,CrazyMetic_W
Anthony3175,Brennan4476,Mongoose2811,Inbar,Rob533,gerog,3573,203,214,1127.9480645994568,1481.9403609376106,1101.313658415731,771.2407969072073,1594.2084682751674,1345.224268896971,1237.0673613175995,1236.8911780264486,0.5003961688817814,0.4996038311182186,1118.7457906421491,1472.7380878955732,1092.1113846763983,780.4807735531624,1603.4107413112397,1354.4265472605643,Anthony3175_L,Brennan4476_L,Mongoose2811_L,Inbar_W,Rob533_W,gerog_W
Anthony3175,Brennan4476,Mongoose2811,Inbar,Rob533,gerog,3572,182,210,1138.4844915722874,1492.476786814241,1111.850085127497,760.6592141960328,1583.6720424056814,1334.6878366468218,1247.6037878380089,1226.339697749512,0.5476695963899019,0.4523304036100981,1127.9480645994568,1481.9403609376106,1101.313658415731,771.2407969072073,1594.2084682751674,1345.224268896971,Anthony3175_L,Brennan4476_L,Mongoose2811_L,Inbar_W,Rob533_W,gerog_W
Anthony3175,Rob533,Brennan4476,Inbar,gerog,Josh3128,3571,226,173,1136.4464733047755,1581.634024361408,1490.438768768522,762.7063687578683,1336.7258559820857,1386.262971661722,1402.8397554782352,1161.8983988005589,0.8972596664602397,0.1027403335397603,1138.4844915722874,1583.6720424056814,1492.476786814241,760.6592141960328,1334.6878366468218,1384.2249536174486,Anthony3175_W,Rob533_W,Brennan4476_W,Inbar_L,gerog_L,Josh3128_L
Anthony3175,Rob533,Brennan4476,Inbar,gerog,Josh3128,3570,194,210,1153.7220626500336,1598.9096117272566,1507.7143561471876,745.3497696603058,1319.4502571692765,1368.9873842958732,1420.1153435081594,1144.5958037084852,0.9225960064543716,0.0774039935456285,1136.4464733047755,1581.634024361408,1490.438768768522,762.7063687578683,1336.7258559820857,1386.262971661722,Anthony3175_L,Rob533_L,Brennan4476_L,Inbar_W,gerog_W,Josh3128_W
